País,Origem da sessão,Meio da sessão,Total de usuários,Sessões,Visualizações,Taxa de rejeição,Tempo médio de engajamento,Ano
United States,(direct),(none),243128,373451,1429089,"46,0%",1 min 00 s,2024
(not set),(direct),(none),156742,156136,209987,"94,0%",0s,2024
United States,(not set),(not set),148963,18175,50900,"91,3%",52s,2024
United States,google,organic,64783,107411,473008,"32,1%",1 min 10 s,2024
Canada,(direct),(none),36901,57560,138217,"62,4%",25s,2024
United States,google,cpc,33073,40668,258473,"29,1%",1 min 33 s,2024
India,(direct),(none),26791,12750,112467,"41,5%",31s,2024
India,google,organic,24457,10311,82725,"28,9%",43s,2024
China,baidu,organic,23773,29058,38529,"46,6%",0s,2024
United States,art-analytics.appspot.com,referral,15037,19396,198767,"24,1%",1 min 39 s,2024
